TVAL - CMリスト
期間:,2025年09月01日(月)~2025年12月31日(水)
時間帯:,05:00~28:59
エリア:,関東
期間内最新サンプルサイズ:,"個人全体 12,025,F1 1,028,F2 1,345,F3- 1,974,M1 850,M2 1,305,M3- 1,952,世帯 5,041"
企業名:,"キリンビール,サントリーホールディングス"
商品／ブランド名:,"キリングッドエール,ザ・プレミアム・モルツ"
CM秒数:,全CM
CM種別:,全CM
放送局:,"日本テレビ,テレビ朝日,TBS,テレビ東京,フジテレビ"
番組名:,指定なし
商品カテゴリ:,指定なし
視聴種別:,リアルタイム
利用データ:,確報
15秒換算:,する
単位:,%
レポート作成日時:,2026年05月12日(火) 17:13
データ提供元:,"Switch Media, Inc."

日付,曜日,祝日,開始時刻,エリア,集計対象都道府県,放送局,放送系列,番組,CM種別,企業,商品／ブランド,CM商品ID,CM商品名,商品カテゴリID,商品大カテゴリ,商品中カテゴリ,商品小カテゴリ,素材ID,秒数,CM内容,出演者,BGM,備考,視聴率：個人全体,視聴率：F1,視聴率：F2,視聴率：F3-,視聴率：M1,視聴率：M2,視聴率：M3-,視聴率：世帯
2025/10/25,土,,21:38:57,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,サタデーステーション,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1135657,15,右上ロゴ、商品、男女4人、商品、感想次々、ポーズ、発泡、文字、缶とグラス、女性、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、♪～、キリングッドエール、まったく新しいキリンビールはじまる、GOODALE、名作の予感です!,5.163461,2.579238,3.100474,6.720401,1.975135,3.361051,6.449856,7.542377
2025/10/25,土,,20:55:24,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,ＳＭＢＣ日本シリーズ２０２５,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,11.611377,8.836517,8.62024,12.724569,14.28082,10.701343,17.290418,16.433662
2025/10/25,土,,20:40:28,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,１億人の大質問！？笑ってコラえて！,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1135657,15,右上ロゴ、商品、男女4人、商品、感想次々、ポーズ、発泡、文字、缶とグラス、女性、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、♪～、キリングッドエール、まったく新しいキリンビールはじまる、GOODALE、名作の予感です!,4.3325,3.731693,3.900561,5.99013,1.943951,2.717318,4.207346,5.850826
2025/10/25,土,,20:36:46,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,ＳＭＢＣ日本シリーズ２０２５,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1135657,15,右上ロゴ、商品、男女4人、商品、感想次々、ポーズ、発泡、文字、缶とグラス、女性、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、♪～、キリングッドエール、まったく新しいキリンビールはじまる、GOODALE、名作の予感です!,5.289997,4.185964,4.335698,6.028022,6.59492,5.364098,7.79885,7.374565
2025/10/25,土,,19:21:05,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,ＳＭＢＣ日本シリーズ２０２５,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,8.777324,6.757571,5.278152,10.074068,11.380691,8.302744,13.850635,12.812162
2025/10/25,土,,18:24:43,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,人生の楽園,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,9.283342,3.79308,5.126174,8.372676,2.705007,5.541855,7.922581,13.963348
2025/10/24,金,,22:30:25,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,金曜ドラマ「フェイクマミー」,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,5.549556,6.510998,5.320603,9.422179,3.36333,2.7095,4.403079,8.30863
2025/10/24,金,,20:39:03,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,マツコ＆有吉かりそめ天国,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1135657,15,右上ロゴ、商品、男女4人、商品、感想次々、ポーズ、発泡、文字、缶とグラス、女性、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、♪～、キリングッドエール、まったく新しいキリンビールはじまる、GOODALE、名作の予感です!,5.055076,4.00491,4.14071,6.289879,3.760171,3.117523,5.252656,7.352518
2025/10/24,金,,20:33:25,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,沸騰ワード１０,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1135657,15,右上ロゴ、商品、男女4人、商品、感想次々、ポーズ、発泡、文字、缶とグラス、女性、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、♪～、キリングッドエール、まったく新しいキリンビールはじまる、GOODALE、名作の予感です!,4.400164,4.42159,4.754402,4.745168,3.648963,2.535932,5.194716,6.168804
2025/10/24,金,,18:07:17,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,Ｎスタ,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,6.662266,2.214044,4.842878,8.666897,3.024135,3.167856,4.104024,10.933113
2025/10/23,木,,24:17:22,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,木曜ドラマ『推しの殺人』,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,2.863527,4.369865,2.534059,5.432563,3.042673,1.808877,2.55024,4.467102
2025/10/23,木,,22:51:57,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,櫻井・有吉ＴＨＥ夜会,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,4.269048,3.099232,6.580742,6.775413,3.088387,3.948817,3.663913,6.582691
2025/10/23,木,,22:46:06,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,見取り図の間取り図ミステリー,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1135657,15,右上ロゴ、商品、男女4人、商品、感想次々、ポーズ、発泡、文字、缶とグラス、女性、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、♪～、キリングッドエール、まったく新しいキリンビールはじまる、GOODALE、名作の予感です!,2.742056,3.56693,2.339789,4.631714,2.724007,1.567735,3.573212,4.075754
2025/10/23,木,,22:29:55,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,見取り図の間取り図ミステリー,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1135657,15,右上ロゴ、商品、男女4人、商品、感想次々、ポーズ、発泡、文字、缶とグラス、女性、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、♪～、キリングッドエール、まったく新しいキリンビールはじまる、GOODALE、名作の予感です!,2.886045,4.242899,2.601539,4.730039,3.188336,1.546951,3.515949,4.280091
2025/10/23,木,,22:23:02,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,報道ステーション,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,15.23966,8.066429,12.992623,19.411566,9.123589,12.035254,21.137317,22.696768
2025/10/23,木,,21:44:11,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,秘密のケンミンＳＨＯＷ極,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1135657,15,右上ロゴ、商品、男女4人、商品、感想次々、ポーズ、発泡、文字、缶とグラス、女性、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、♪～、キリングッドエール、まったく新しいキリンビールはじまる、GOODALE、名作の予感です!,5.184221,4.939569,5.010248,7.550171,4.099696,3.07726,6.247372,7.509085
2025/10/23,木,,21:26:09,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,ニンゲン観察！モニタリング,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1135657,15,右上ロゴ、商品、男女4人、商品、感想次々、ポーズ、発泡、文字、缶とグラス、女性、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、♪～、キリングッドエール、まったく新しいキリンビールはじまる、GOODALE、名作の予感です!,3.311418,2.105697,2.868287,4.242895,2.612656,2.68556,3.22717,4.678948
2025/10/23,木,,20:36:46,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,ナゼそこ？＋,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,4.211784,1.958503,4.519956,3.35803,0.703983,2.216773,3.568533,6.151942
2025/10/23,木,,20:36:41,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,相葉ヒロミのお困りですカー？,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,9.117873,5.083399,7.860886,11.965317,4.967243,3.451705,7.969293,13.812487
2025/10/23,木,,19:35:44,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,プロ野球ドラフト会議,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1135657,15,右上ロゴ、商品、男女4人、商品、感想次々、ポーズ、発泡、文字、缶とグラス、女性、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、♪～、キリングッドエール、まったく新しいキリンビールはじまる、GOODALE、名作の予感です!,3.353551,1.786996,2.499475,3.968596,2.46693,2.158803,3.305156,5.522922
2025/10/23,木,,19:16:00,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,相葉ヒロミのお困りですカー？,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,5.49877,3.82395,4.215601,7.457882,2.041621,2.217625,4.81149,8.52141
2025/10/23,木,,18:05:16,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,ｎｅｗｓｅｖｅｒｙ．,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1135657,15,右上ロゴ、商品、男女4人、商品、感想次々、ポーズ、発泡、文字、缶とグラス、女性、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、♪～、キリングッドエール、まったく新しいキリンビールはじまる、GOODALE、名作の予感です!,4.560007,2.37074,5.232587,6.86989,2.824004,1.851385,3.47412,7.461788
